Entity,Type,Abilities
Enchanted Car,Vehicle,"Accelerator Switches Ability, Cargo Hook Ability, Flight Dock Ability, Flying Ability, Stealth Ability"
Energy-Burst TARDIS,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
Erin Gilbert,Character,"Character Changing Ability, Ghost Puzzles Ability, Ghost Trap Ability, Hazard Protection Ability, Intelligence Ability, Laser Ability, Melt Ice Ability, Silver LEGO Blowup Ability, Technology Ability"
Eris,Character,"Chi Ability, Flying Ability, Super Strength Ability, Target Ability"
Ethan Hunt,Character,"Acrobat Ability, Dive Ability, Drone Mazes Ability, Fuse Box Ability, Grapple Ability, Magno Gloves Ability, Rope Swing Ability, Scan Disguise Ability, Silver LEGO Blowup Ability, Stealth Ability, Target Ability, Technology Ability, X-Ray Vision Ability"
Excalibur Batman,Character,"Boomerang Ability, Grapple Ability, Laser Deflector Ability, Master Build Ability, Rope Swing Ability, Stealth Ability, Super Strength Ability, Sword Switch Ability"
Fanged Fortune,Vehicle,"Growth Ability, Hazard Cleaner Ability, Water Spray Ability"
Fern,Character,"Acrobat Ability, Character Changing Ability, Cursed Red LEGO Objects Ability, Grapple Ability, Laser Ability, Laser Deflector Ability, Melt Ice Ability, Pole Vault Ability, Rope Swing Ability, Sword Switch Ability, Target Ability, Vine Cut Ability"
Fierce Falcon,Vehicle,"Flying Ability, Sonar Smash Ability"
Finn the Human,Character,"Acrobat Ability, Character Changing Ability, Cursed Red LEGO Objects Ability, Grapple Ability, Laser Ability, Laser Deflector Ability, Melt Ice Ability, Pole Vault Ability, Rope Swing Ability, Sword Switch Ability, Target Ability, Vine Cut Ability, Weapon Switch Ability"
Fire 'n' Ride Dalek,Vehicle,"Laser Ability, Turret Switch Ability"
Flash 'n' Finish,Vehicle,"Laser Ability, Sonar Smash Ability"
Flying Fire Bike,Vehicle,"Cargo Hook Ability, Flying Ability"
Flying Time Train,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
Flying Turret Carrier,Vehicle,"Cargo Hook Ability, Flying Ability, Silver LEGO Blowup Ability"
Flying White Dragon,Vehicle,Flying Ability
Fool Smasher,Vehicle,"Accelerator Switches Ability, Silver LEGO Blowup Ability, Super Strength Ability"
Franz Krieger,Character,Target Ability
Freeze Fighter,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Laser Ability"
G-6155 Spy Hunter,Vehicle,Accelerator Switches Ability
Gadget-O-Matic,Vehicle,"Accelerator Switches Ability, Cursed Red LEGO Objects Ability, Silver LEGO Blowup Ability, Sonar Smash Ability, Special Attack Ability"
Gamer Kid,Character,"Invulnerability Ability, Laser Ability, Melt Ice Ability, Speed Ability, Stealth Ability, Super Strength Ability"
Gandalf the Grey,Character,"Illumination Ability, Magic Ability, Magical Shield Ability"
Ghost Stun 'n' Trap,Gadget,"Ghost Trap Ability, Special Attack Ability"
Ghost Trap,Gadget,Ghost Trap Ability
Giant Hand,Vehicle,"Dig Ability, Super Strength Ability"
Giant Owl,Vehicle,"Electricity Ability, Flying Ability"
Gimli,Character,"Mini Access Ability, Super Strength Ability"
Gizmo,Character,"Acrobat Ability, Dig Ability, Grapple Ability, Gremlin Transform Ability, Mini Access Ability, Rope Swing Ability, Silver LEGO Blowup Ability, Target Ability, Vine Cut Ability"
Glaciator,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Special Attack Ability"
Gold Heart Emitter,Gadget,Heart Regen Ability
Golden Fire Dragon,Vehicle,"Flying Ability, Special Attack Ability"
Goliath Armored Semi,Vehicle,"Accelerator Switches Ability, Electricity Ability, Invulnerability Ability, Super Strength Ability"
Gollum,Character,"Acrobat Ability, Boomerang Ability, Dive Ability, Mini Access Ability, Silver LEGO Blowup Ability"
Gravity Sprinter,Vehicle,Accelerator Switches Ability
Green Arrow,Character,"Acrobat Ability, Grapple Ability, Pole Vault Ability, Target Ability"
Gyrosphere,Vehicle,Gyrosphere Switches Ability
"H.M. ""Howling Mad"" Murdock",Character,"Character Changing Ability, Silver LEGO Blowup Ability, Target Ability"
Harley Quinn,Character,"Acrobat Ability, Super Strength Ability"
Harry Potter,Character,"Apparate Access Ability, Diffindo Ability, Flying Ability, Growth Ability, Hazard Cleaner Ability, Illumination Ability, Laser Deflector Ability, Magic Ability, Magical Shield Ability, Parseltongue Doors Ability, Silver LEGO Blowup Ability, Stealth Ability, Target Ability, Water Spray Ability"
Heavy Metal Monster,Vehicle,"Cursed Red LEGO Objects Ability, Flying Ability, Guardian Ability, Laser Ability, Sonar Smash Ability, Super Strength Ability"
Hermione Granger,Character,"Acrobat Ability, Apparate Access Ability, Diffindo Ability, Growth Ability, Hazard Cleaner Ability, Illumination Ability, Intelligence Ability, Laser Deflector Ability, Magic Ability, Magical Shield Ability, Silver LEGO Blowup Ability, Target Ability, Water Spray Ability"
Hogwarts Express,Vehicle,"Accelerator Switches Ability, Sonar Smash Ability"
Homer Simpson,Character,"Big Transform Ability, Chili Eating Ability, Sonar Smash Ability, Super Strength Ability"
Homer's Car,Vehicle,Accelerator Switches Ability
Hover Jake,Vehicle,"Guardian Ability, Water Spray Ability"
Hover Pod,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
IMF Covert Jet,Vehicle,"Cargo Hook Ability, Dive Ability, Flight Dock Ability, Flying Ability, Special Attack Ability, Stealth Ability"
IMF Scrambler,Vehicle,"Accelerator Switches Ability, Special Attack Ability, Stealth Ability"
IMF Splorer,Vehicle,"Dive Ability, Drone Mazes Ability, Underwater Drone Ability, Underwater Interactions Ability"
IMF Sport Car,Vehicle,Accelerator Switches Ability
IMF Tank,Vehicle,"Accelerator Switches Ability, Laser Ability, Super Strength Ability"
Inferno Cannon,Vehicle,Silver LEGO Blowup Ability
Interdiver,Vehicle,"Dive Ability, Silver LEGO Blowup Ability"
Invisible Jet,Vehicle,"Flight Dock Ability, Flying Ability, Stealth Ability"
Jacob Kowalski,Character,"Character Changing Ability, Silver LEGO Blowup Ability"
Jake the Dog,Character,"Big Transform Ability, Dig Ability, Dive Ability, Drill Ability, Drone Mazes Ability, Grapple Ability, Gyrosphere Switches Ability, Mini Access Ability, Rope Swing Ability, Shape Shift Ability, Slurp Access Ability, Sonar Smash Ability, Super Strength Ability, Tracking Ability"
Jakemobile,Vehicle,"Accelerator Switches Ability, Vine Cut Ability"
Jay,Character,"Acrobat Ability, Electricity Ability, Fix-It Ability, Intelligence Ability, Laser Deflector Ability, Spinjitzu Ability, Stealth Ability"
Jillian Holtzmann,Character,"Character Changing Ability, Fix-It Ability, Ghost Puzzles Ability, Ghost Trap Ability, Grapple Ability, Hazard Protection Ability, Intelligence Ability, Laser Ability, Melt Ice Ability, Rope Swing Ability, Technology Ability"
"John ""Hannibal"" Smith",Character,"Character Changing Ability, Silver LEGO Blowup Ability, Target Ability"
K-9,Vehicle,Silver LEGO Blowup Ability
K-9 Laser Cutter,Vehicle,"Laser Ability, Melt Ice Ability"
K-9 Ruff Rover,Vehicle,Sonar Smash Ability
K.I.T.T.,Vehicle,"Accelerator Switches Ability, Laser Ability"
K.I.T.T. Jet,Vehicle,"Flight Dock Ability, Flying Ability, Laser Ability, Silver LEGO Blowup Ability, Special Attack Ability"
Ka-Pow Cannon,Vehicle,Super Strength Ability
Kai,Character,"Acrobat Ability, Laser Ability, Laser Deflector Ability, Melt Ice Ability, Spinjitzu Ability, Stealth Ability"
Krusty the Clown,Character,"Growth Ability, Hazard Cleaner Ability, Target Ability, Water Spray Ability"
Krypton Striker,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Special Attack Ability"
Laser Deflector,Gadget,Laser Deflector Ability
Laser Robot Walker,Vehicle,Laser Ability
Laser Shooter,Vehicle,"Flying Ability, Laser Ability"
Laser-Pulse TARDIS,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Laser Ability"
Lasercraft,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Laser Ability"
Laval,Character,"Acrobat Ability, Chi Ability, Laser Deflector Ability, Sonar Smash Ability, Super Strength Ability"
Legolas,Character,"Acrobat Ability, Grind Rails Ability, Pole Vault Ability, Target Ability"
Lightning Jet,Vehicle,"Cargo Hook Ability, Electricity Ability, Flight Dock Ability, Flying Ability, Laser Ability"
Lion Blazer,Vehicle,Special Attack Ability
Lloyd,Character,"Acrobat Ability, Illumination Ability, Laser Deflector Ability, Spinjitzu Ability, Stealth Ability"
Lloyd's Golden Dragon,Vehicle,Flying Ability
Lock 'n' Laser Jet,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Laser Ability, Special Attack Ability"
Lord Voldemort,Character,"Apparate Access Ability, Diffindo Ability, Flying Ability, Growth Ability, Hazard Cleaner Ability, Illumination Ability, Laser Deflector Ability, Magic Ability, Magical Shield Ability, Mind Control Ability, Parseltongue Doors Ability, Silver LEGO Blowup Ability, Target Ability, Water Spray Ability"
Lumpy Car,Vehicle,"Accelerator Switches Ability, Speed Ability"
Lumpy Land Whale,Vehicle,"Dive Ability, Drone Mazes Ability, Sonar Smash Ability"
Lumpy Space Princess,Character,"Boomerang Ability, Flying Ability, Hazard Protection Ability, Mini Access Ability, Rainbow LEGO Objects Ability, Slurp Access Ability, Target Ability"
Lumpy Truck,Vehicle,"Accelerator Switches Ability, Flying Ability, Laser Ability, Rainbow LEGO Objects Ability"
Lunatic Amp,Vehicle,"Dig Ability, Sonar Smash Ability, Super Jump Ability"
Marceline the Vampire Queen,Character,"Acrobat Ability, Cursed Red LEGO Objects Ability, Dig Ability, Flying Ability, Heart Regen Ability, Magic Ability, Mini Access Ability, Slurp Access Ability, Sonar Smash Ability, Stealth Ability, Super Strength Ability, Tracking Ability, Vine Cut Ability"
Marty McFly,Character,Sonar Smash Ability
Mega Blast Bot,Vehicle,Silver LEGO Blowup Ability
Mega Flight Dragon,Vehicle,"Flying Ability, Special Attack Ability"
Michael Knight,Character,"Acrobat Ability, Hacking Ability, Technology Ability, Tracking Ability, X-Ray Vision Ability"
Mighty Lion Rider,Vehicle,Accelerator Switches Ability
Mikey,Character,"Character Changing Ability, Intelligence Ability, Mini Access Ability, Silver LEGO Blowup Ability"
Mischievous Missile Blaster,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Special Attack Ability"
Missile Blast Time Train,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Silver LEGO Blowup Ability, Time Travel Ability"
Missile Launcher,Vehicle,"Accelerator Switches Ability, Silver LEGO Blowup Ability"
Missile Striker,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Silver LEGO Blowup Ability"
Mobile Uplink,Vehicle,"Phone Home Ability, Special Attack Ability"
Monstrous Mouth,Vehicle,"Laser Ability, Vine Cut Ability"
Moto Bug,Vehicle,"Accelerator Switches Ability, Cursed Red LEGO Objects Ability, Dig Ability, Super Jump Ability, Vine Cut Ability"
Mouth,Character,"Character Changing Ability, Dig Ability, Hazard Protection Ability, Laser Deflector Ability, Mini Access Ability, Silver LEGO Blowup Ability"
Mystery Machine,Vehicle,Accelerator Switches Ability
Mystery Monster,Vehicle,"Growth Ability, Hazard Cleaner Ability, Water Spray Ability"
Mystery Tow & Go,Vehicle,"Accelerator Switches Ability, Tow Bar Ability"
Newt Scamander,Character,"Apparate Access Ability, Character Changing Ability, Diffindo Ability, Fantastical Briefcase Ability, Fix-It Ability, Growth Ability, Hazard Cleaner Ability, Illumination Ability, Intelligence Ability, Laser Deflector Ability, Lock Picking Ability, Magic Ability, Magical Shield Ability, Silver LEGO Blowup Ability, Target Ability, Water Spray Ability"
Niffler,Vehicle,Dig Ability
NinjaCopter,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
Nya,Character,"Acrobat Ability, Fix-It Ability, Laser Deflector Ability, Spinjitzu Ability, Stealth Ability"
Octi,Vehicle,"Dive Ability, Laser Ability"
One-Eyed Willy's Pirate Ship,Vehicle,Silver LEGO Blowup Ability
Owen Grady,Character,"Stealth Ability, Target Ability, Tracking Ability, Vine Cut Ability"
Pain Plane,Vehicle,"Cargo Hook Ability, Flying Ability, Tow Bar Ability"
Patty Tolan,Character,"Character Changing Ability, Ghost Chipper Ability, Ghost Puzzles Ability, Ghost Trap Ability, Hazard Protection Ability, Intelligence Ability, Laser Ability, Melt Ice Ability, Super Strength Ability, Technology Ability"
PerfEcto,Vehicle,"Cargo Hook Ability, Flying Ability, Tow Bar Ability"
Peter Venkman,Character,"Character Changing Ability, Ghost Puzzles Ability, Hazard Protection Ability, Laser Ability, Suspend Ghost Ability"
Phone Home,Vehicle,"Phone Home Ability, Sonar Smash Ability"
Poison Slinger,Vehicle,"Dig Ability, Special Attack Ability, Super Strength Ability"
Police Car,Vehicle,Accelerator Switches Ability
Police Helicopter,Vehicle,"Flight Dock Ability, Flying Ability, Special Attack Ability"
Police Hovercraft,Vehicle,Laser Ability
Police Plane,Vehicle,"Drone Mazes Ability, Flying Ability"
Powerpuff Mag-Net,Vehicle,Silver LEGO Blowup Ability
PPG Hotline,Gadget,Rainbow LEGO Objects Ability
PPG Smartphone,Vehicle,"Flying Ability, Laser Ability"
Proton Zapper,Vehicle,Laser Ability
Psychic Submarine,Vehicle,"Dive Ability, Drone Mazes Ability, Laser Ability"
Queenie Goldstein,Character,"Apparate Access Ability, Character Changing Ability, Diffindo Ability, Growth Ability, Hazard Cleaner Ability, Illumination Ability, Magic Ability, Magical Shield Ability, Mind Control Ability, Water Spray Ability"
Quinn Mobile,Vehicle,Accelerator Switches Ability
Quinn Ultra Racer,Vehicle,"Accelerator Switches Ability, Speed Ability"
R.C. Racer,Vehicle,"Accelerator Switches Ability, Electricity Ability"
Rainbow Cannon,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Rainbow LEGO Objects Ability"
Raven,Character,"Drone Mazes Ability, Electricity Ability, Flying Ability, Intelligence Ability, Laser Ability, LEGO Constructs Ability, Magic Ability, Magical Shield Ability, Raven Portals Ability"
Raven Wings,Vehicle,"Flying Ability, Laser Ability"
Raymond Stantz,Character,"Character Changing Ability, Ghost Puzzles Ability, Hazard Protection Ability, Laser Ability"
Robin (Teen Titans Go!),Character,"Acrobat Ability, Character Changing Ability, Dive Ability, Grapple Ability, Pole Vault Ability, Rope Swing Ability"
Robin (The LEGO Batman Movie),Character,"Acrobat Ability, Character Changing Ability, Dive Ability, Fix-It Ability, Glide Ability, Illumination Ability, Laser Deflector Ability, Pole Vault Ability, Suit Rip Ability, Vent Access Ability"
Robot Retriever,Vehicle,Electricity Ability
Samurai Mech,Vehicle,Super Strength Ability
Samurai Shooter,Vehicle,Silver LEGO Blowup Ability
Saturn's Sandworm,Vehicle,Sonar Smash Ability
Scarlet Scorpion,Vehicle,"Electricity Ability, Special Attack Ability, Super Jump Ability, Vine Cut Ability"
Scooby Fire Snack,Gadget,Laser Ability
Scooby Ghost Snack,Gadget,Stealth Ability
Scooby Snack,Gadget,Super Strength Ability
Scooby-Doo,Character,"Dig Ability, Dive Ability, Glide Ability, Stealth Ability, Tracking Ability"
Seeking Shooter,Vehicle,"Accelerator Switches Ability, Special Attack Ability, Target Ability"
Sensei Wu,Character,"Acrobat Ability, Glide Ability, Pole Vault Ability, Spinjitzu Ability, Stealth Ability"
Sentry Turret,Vehicle,"Silver LEGO Blowup Ability, Turret Switch Ability"
Seven Seas Speeder,Vehicle,"Dive Ability, Special Attack Ability, Speed Ability"
Shadow Scorpion,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Special Attack Ability"
Shaggy,Character,"Glide Ability, Illumination Ability, Stealth Ability, Tracking Ability"
Shark Sub,Vehicle,"Dive Ability, Drone Mazes Ability, Sonar Smash Ability"
Shelob the Great,Vehicle,Dig Ability
Shock Cycle,Vehicle,"Accelerator Switches Ability, Special Attack Ability, Stealth Ability"
Silver Shooter Dalek,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Silver LEGO Blowup Ability"
Sinister Scorpion,Vehicle,Special Attack Ability
Skele-Turkey,Vehicle,"Flying Ability, Laser Ability, Silver LEGO Blowup Ability"
Skeleton Jukebox,Vehicle,Sonar Smash Ability
Skeleton Organ,Vehicle,"Silver LEGO Blowup Ability, Skeleton Organ Port Ability, Sonar Smash Ability"
Sky Clobberer,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
Slammin' Guitar,Vehicle,Sonar Smash Ability
Slime Exploder,Gadget,Special Attack Ability
Slime Shooter,Gadget / Vehicle,"Special Attack Ability, Target Ability"
Slime Streamer,Gadget,"Silver LEGO Blowup Ability, Special Attack Ability"
Slimer,Character,"Boomerang Ability, Dive Ability, Flying Ability, Hazard Cleaner Ability, Hazard Protection Ability, Illumination Ability, Invulnerability Ability, Mini Access Ability, Slurp Access Ability, Sonar Smash Ability"
Sloth,Character,"Character Changing Ability, Dig Ability, Dive Ability, Grapple Ability, Rope Swing Ability, Super Strength Ability, Truffle Shuffle Ability"
Snail Dude Jake,Vehicle,"Guardian Ability, Sonar Smash Ability, Super Jump Ability, Super Strength Ability"
SNAKEMO,Vehicle,"BMO Docking Stations Ability, Electricity Ability"
Soaring Chariot,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability"
Soaring Samurai Mech,Vehicle,"Flight Dock Ability, Flying Ability"
Soaring Steam Plane,Vehicle,"Cargo Hook Ability, Flight Dock Ability, Flying Ability, Laser Ability"
Soaring Terror Dog,Vehicle,"Flying Ability, Special Attack Ability"
Sonic Batray,Vehicle,"Accelerator Switches Ability, Sonar Smash Ability, Special Attack Ability"
Sonic Beam Gyrosphere,Vehicle,"Gyrosphere Switches Ability, Sonar Smash Ability"
Sonic Speedster,Vehicle,"Accelerator Switches Ability, Cursed Red LEGO Objects Ability"
Sonic Squid,Vehicle,"Dive Ability, Sonar Smash Ability, Water Spray Ability"
Sonic the Hedgehog,Character,"Acrobat Ability, Grind Rails Ability, Invulnerability Ability, Laser Deflector Ability, Speed Ability, Super Jump Ability, Super Strength Ability"
Speed Boost Gyrosphere,Vehicle,"Gyrosphere Switches Ability, Speed Ability"
Spellbook of Azarath,Vehicle,"Cursed Red LEGO Objects Ability, Drone Mazes Ability, Flying Ability, Laser Ability"
Spike Attack Raptor,Vehicle,"Dig Ability, Special Attack Ability, Super Strength Ability, Tracking Ability, Vine Cut Ability"
Spooky Spider,Vehicle,Super Jump Ability
Starfire,Character,"Atlantis Elemental Ability, Flying Ability, Heart Regen Ability, Laser Ability, Rainbow LEGO Objects Ability"
Stay Puft,Character,"Big Transform Ability, Hazard Protection Ability, Super Strength Ability"
